no_reg,nama_perusahaan,nama_merek_usaha,tipe_keanggotaan,jenis_perizinan,domain,alamat_kantor,kelurahan,kecamatan,kabkota,provinsi,kodepos,phone,fax
S116,YAY. UNIVERSITAS SURABAYA,-,Education,-,-,Jl. Ngagel Jaya Selatan No. 169,KALI RUNGKUT,RUNGKUT,Surabaya,JAWA TIMUR,-,031-2981040,-
S1957,POLITEKNIK ELEKTRONIKA NEGERI SURABAYA,PENS-ID,Education,-,PENS.AC.ID,"Jl. Raya ITS, Keputih",KEPUTIH,SUKOLILO,SURABAYA,JAWA TIMUR,60111,+62315947280,+62315946114
S372,UNIVERSITAS DIPONEGORO,-,Education,-,UNDIP.AC.ID,JL. PROF SOEDHARTO NO. 1,MANGUNHARJO,TEMBALANG,SEMARANG,JAWA TENGAH,-,-,-
S1956,BADAN PENGAWAS PASAR MODAL DAN LEMBAGA KEUANGAN,-,Goverment,-,OJK-ID,JL. LAPANGAN BANTENG TIMUR NO. 1-4,PASAR BARU,SAWAH BESAR,JAKARTA PUSAT,DKI JAKARTA,10710,-,-
S1952,INFINITY SARANA SUKSES,-,Corporate,-,INFINITY-ID,RUKAN PERMATA SENAYAN BLOK. A NO. 9,GROGOL UTARA,KEBAYORAN LAMA,JAKARTA SELATAN,DKI JAKARTA,12210,-,-
S152,PT. INFORMASI TEKNOLOGI INDONESIA,-,Corporate,-,-,"Gedung Graha Orange, Jl. Mampang Prapatan Raya No. 3",MAMPANG PRAPATAN,MAMPANG PRAPATAN,JAKARTA SELATAN,DKI JAKARTA,12790,021-7940946,-
S513,UNIVERSITAS LAMPUNG,-,Education,-,-,JL. PROF. DR. SUMANTRI BROJONEGORO NO. 1 RAJABASA,GEDONG MENENG,RAJABASA,BANDAR LAMPUNG,LAMPUNG,35145,-,-
S173,PT. ANTAR MITRA PRAKARSA,-,Corporate,-,-,"Menara Imperium Lt. 20 Suite B, Jl. HR Rasuna Said Kav. 1 Kuningan",GUNTUR,SETIABUDI,JAKARTA SELATAN,DKI JAKARTA,12980,-,-
S1923,SEJAHTERA DAMAI BERSAMA,-,Corporate,-,-,Gd. Cyber Lt. 7 - JL. Kuningan Barat No. 8,KUNINGAN BARAT,MAMPANG PRAPATAN,JAKARTA SELATAN,DKI JAKARTA,12710,021 5221908,021 5223368
S213,MAXINDO NETWORK,MAXINDO NETWORK,Corporate,-,MAXINDO.NET,Jl. Marina Raya RKC Blok. H No. 77 Pantai Indah Kapuk,KAMAL MUARA,PENJARINGAN,JAKARTA UTARA,DKI JAKARTA,14470,021-80624666,-
S1948,BADAN PEMERIKSA KEUANGAN (BPK RI),-,Goverment,-,BPK.GO.ID,JL. GATOT SUBROTO NO. 31 RT. 14 / RW. 05,BENDUNGAN HILIR,TANAH ABANG,JAKARTA PUSAT,DKI JAKARTA,10210,-,-
S235,ARGON DATA COMMUNICATION,ARGONHOST,Corporate,-,ARGON.CO.ID,JL. Siti Jenab no. 79 RT. 003 / Rw. 007,PAMOYANAN,CIANJUR,KAB. CIANJUR,JAWA BARAT,43211,081320515161,0263272658
S244,PT. INDONESIA BROADBAND COMMUNICATIONS,-,Corporate,-,-,Jl. Karang Tinggal No. 27,CIPEDES,SUKAJADI,BANDUNG,JAWA BARAT,40162,-,-
S1530,"SEKOLAH TINGGI MULTI MEDIA ""MMTC"" YOGYAKARTA",STMM MMTC,Education,-,MMTC.AC.ID,Jalan Magelang Km. 6 Yogyakarta,SINDUADI,MLATI,KAB. SLEMAN,DI YOGYAKARTA,55284,0274562513,0274623537
S258,KEMENTERIAN KELAUTAN DAN PERIKANAN,-,Goverment,-,KKP-ID,GEDUNG MINA BAHARI LT. 16 JL. MEDAN MINA MERDEKA TIMUR NO. 16,GAMBIR,GAMBIR,JAKARTA PUSAT,DKI JAKARTA,10110,-,-
S1538,"PT. SAMUDERA INDONESIA, TBK.",-,Corporate,-,SI-ID,"SAMUDERA INDONESIA BUILDING 6TH FLOOR, JL. S. PARMAN KAV. 35",KEMANGGISAN,PALMERAH,JAKARTA BARAT,DKI JAKARTA,11480,-,-
S1942,UNIVERSITAS ISLAM NEGERI SYARIF HIDAYATULLAH JAKARTA,-,Education,-,-,JL. IR. H. JUANDA NO. 95,CIPUTAT,CIPUTAT,TANGERANG SELATAN,BANTEN,15411,-,-
S1941,INSTITUT TEKNOLOGI SEPULUH NOPEMBER SURABAYA,-,Education,-,ITS-ID,JL. RAYA I T S SUKOKILO SURABAYA,MANYAR SABRANGAN,MULYOREJO,SURABAYA,JAWA TIMUR,-,-,-
S1921,PDIS - BADAN PENGKAJIAN DAN PENERAPAN TEKNOLOGI,LPNK,Goverment,-,BPPT.GO.ID,"JL. MH Thamrin No. 8
Lantai 4 Gedung 2 BPPT
Gedung B. J. Habibie
Pusat Manajemen Informasi
BPPT",KEBON SIRIH,MENTENG,JAKARTA PUSAT,DKI JAKARTA,10340,02175791262,02175791281
S855,GLOBAL DIGITAL NIAGA,BLIBLI.COM,Corporate,-,COMMERCE.COM,Jalan Aipda K. S. Tubun II C No. 8 RT. 2 / RW. 1,PETAMBURAN,TANAH ABANG,JAKARTA PUSAT,DKI JAKARTA,10260,08041871871,-
S1938,PT. TOTAL TRIMITRA TEKNOLOGI,-,Corporate,-,TOTALTEKNO-ID,"OFFICE 8 BUILDING LT. 18 A, SCBD JL. JEND. SUDIRMAN KAV. 52-53",SETIABUDI,SETIABUDI,JAKARTA SELATAN,DKI JAKARTA,12910,-,-
S1934,BADAN PERTANAHAN NASIONAL,-,Goverment,-,-,Jalan Sisingamangaraja No. 2,SELONG,KEBAYORAN BARU,JAKARTA SELATAN,DKI JAKARTA,12110,-,-
S504,BNI LIFE INSURANCE,FINANCIAL SERVICE,Corporate,-,BNI-LIFE.CO.ID,"Centennial Tower 9th Floor, Jl. Gatot Subroto Kav. 24-25",KARET SEMANGGI,SETIABUDI,JAKARTA SELATAN,DKI JAKARTA,12930,0212953999,02129539998
S1933,PT. GTA INDONESIA,-,Corporate,-,KUONI-ID,GEDUNG BRI II SUITE 2110 JL. JEND. SUDIRMAN KAV. 44-46,BENDUNGAN HILIR,TANAH ABANG,JAKARTA PUSAT,DKI JAKARTA,10210,-,-
S518,KINERJA INDONESIA,-,Corporate,-,KINERJA-ID,JL. MULTATULI NO. 8A,HAMDAN,MEDAN MAIMUN,MEDAN,SUMATERA UTARA,20151,-,-
,UNIVERSITAS PADJADJARAN,-,Education,-,-,JL. DIPATIUKUR NO. 35,HEGARMANAH,JATINANGOR,KAB. SUMEDANG,JAWA BARAT,45363,-,-
S580,UPT PENGEMBANGAN TEKNOLOGI INFORMASI DAN KOMUNIKASI UNIVERSITAS NEGERI PADANG,UNIVERSITAS NEGERI PADANG,Education,-,UNP.AC.ID,"Lantai Dasar Gedung Rektorat Universitas Negeri Padang, Jl. Prof. Dr. Hamka",AIR TAWAR BARAT,PADANG UTARA,PADANG,SUMATERA BARAT,25131,0751-7053902,0751-7055628
S581,PT. MITRA PAJAKKU,PAJAKKU,Corporate,-,PAJAKKU.COM,Jl. Kemanggisan Utama Raya No. J-4,PALMERAH,PALMERAH,JAKARTA BARAT,DKI JAKARTA,11480,+62 21 5365 1565,+62 21 5365 1893
S582,PT. SUMBER CIPTA MULTINIAGA,-,Corporate,-,SUMBERCIPTA.COM,Jl. Pandean Lamper IV/16 RT. 009 / RW. 006,PETERONGAN,SEMARANG SELATAN,SEMARANG,JAWA TENGAH,50242,0215346901 / 0248414,0215346892 / 0248313
S584,PT. WITAMI TUNAI MANDIRI,TRUEMONEY,Corporate,-,TRUEMONEY.CO.ID,"Gran Rubina Business Park, Generali Tower Floor 19 
Jl. HR. Rasuna Said Kav. C-22 Jakarta Selatan",SETIABUDI,SETIABUDI,JAKARTA SELATAN,DKI JAKARTA,12910,021-29023166,021-29023166
S1258,PT. BUKALAPAK,BUKALAPAK,Corporate,-,.COM,"Gedung Plaza City View, Jl. Kemang Timur No. 22, Lantai 1 Jakarta Selatan",PEJATEN BARAT,PASAR MINGGU,JAKARTA SELATAN,DKI JAKARTA,12510,021-7182008,021-7182008
S598,PT. DATA SINERGITAMA JAYA,ELITERY,Corporate,-,WWW.ELITERY.COM,"Talavera Office Suite, 18th Floor
Jl. TB. Simatupang Kav 22-26",CILANDAK BARAT,CILANDAK,JAKARTA SELATAN,DKI JAKARTA,12430,021-29715999,021-29715988
S599,DISINFOLAHTA TNI AU,TNI ANGKATAN UDARA,Goverment,-,TNI-AU.MIL.ID,"Gedung B3 Lantai 1, Mabes TNI AU Cilangkap Jakarta Timur",CILANGKAP,CIPAYUNG,JAKARTA TIMUR,DKI JAKARTA,13870,+62218709585,+62218714512
S600,PT. FINANSIA PACIFICA RAYA,AHLOO,Corporate,-,WWW.AHLOO.COM,"Gedung Office 8, Lantai 17, SCBD Lot 28, Jl. Jendral Sudirman Kav 52-53",SENAYAN,KEBAYORAN BARU,JAKARTA SELATAN,DKI JAKARTA,12190,021-29333646,021-29333646
S602,ICONMEDIA LINTAS NUSANTARA,ICONMEDIA,Corporate,-,ICONMEDIA.CO.ID,"Ruko Grahastio Lt. III A
Jl. KH. Soleh Iskandar KM. 2",KEDUNGBADAK,TANAH SEREAL,BOGOR,JAWA BARAT,16161,0251-8409254,0251-8409254
S603,BADAN SIBER DAN SANDI NEGARA,BADAN SIBER DAN SANDI NEGARA,Goverment,-,BSSN.GO.ID,"Jl. Harsono RM No. 70
Ragunan, Pasar Minggu",RAGUNAN,PASAR MINGGU,JAKARTA SELATAN,DKI JAKARTA,12550,021-7805814,021-78044104
S605,YAYASAN BADAN PENDIDIKAN KRISTEN PENABUR (YBPK),BPK PENABUR,Education,-,BPKPENABUR.OR.ID,"Jl. Tanjung Duren Raya No. 4 Blok. E Lt. 5
Gedung Ukrida Rt. 010/02",TANJUNG DUREN UTARA,GROGOL PETAMBURAN,JAKARTA BARAT,DKI JAKARTA,11610,0215666965,0215666970
S606,PUSTIKOM UNIVERSITAS NEGERI GORONTALO,UNIVERSITAS,Education,-,UNG.AC.ID,Jl. Jend. Sudirman No. 6,WUMIALO,KOTA TENGAH,GORONTALO,GORONTALO,96126,0435831006,0435821752
S608,PT. AIRPAY INTERNATIONAL INDONESIA,AIRPAY INTERNATIONAL INDONESIA,Corporate,-,AIRPAY.CO.ID,"Wisma 77 Tower 2 Lt. 11
Jl. Let. Jend. S Parman Kav. 77",SLIPI,PALMERAH,JAKARTA BARAT,DKI JAKARTA,11410,021-80647200,021-29675885
S609,PT.PLATINUM CITRA INDONESIA,PLATINUM CITRA INDONESIA,Corporate,-,PLATINUMINDONESIA.ID,Jalan Kampung Masjid RT.017 RW.003,KARET,SEPATAN,KAB. TANGERANG,BANTEN,15530,+622159371370,+622159371370
S610,PT. CIPTA RAYA KOMUNIKA,JATAKANET,Corporate,-,WWW.CYACOMM.COM,Perum. bojong gede depok baru blok. G3 no. 5,BOJONG GEDE,BOJONG GEDE,KAB. BOGOR,JAWA BARAT,16320,021-87989021,021-87989021
S612,KEMENTERIAN KOPERASI DAN USAHA KECIL DAN MENEGAH RI,KEMENTERIAN KOPERASI DAN USAHA KECIL DAN MENEGAH RI,Goverment,-,DEPKOP.GO.ID,Jl. H. R Rasuna Said Kav. 3-4,KARET KUNINGAN,SETIABUDI,JAKARTA SELATAN,DKI JAKARTA,12940,021-52992983,021-5204378
S613,KPDT BANTUL,DISKOMINFO BANTUL,Goverment,-,BANTULKAB.GO.ID,Jl. RW Monginsidi No.1 Bantul 55711,BANTUL,BANTUL,KAB. BANTUL,DI YOGYAKARTA,55711,+62274368547,+62274368078
S614,PT. AXA GROUP OPERATIONS INDONESIA,INFRASTRUKTUR SERVICES,Corporate,-,AXA.COM,"AXA Tower 20th Floor, Jalan Prof. Dr. Satrio Kav. 18",KARET KUNINGAN,SETIABUDI,JAKARTA SELATAN,DKI JAKARTA,12940,02130057911,02130057911
S615,PT. BERKAH SOLUSI TEKNOLOGI INFORMASI,IT,Corporate,-,PTBSTI.COM,"Gedung STC Senayan Lt. 2 Ruang 35 Jl. Asia Afrika Pintu IX Gelora
Tanah Abang",GELORA,TANAH ABANG,JAKARTA PUSAT,DKI JAKARTA,10270,+62 (021) 5793-0507,+62 (021) 5793-0507
S616,DISHUBKOMINFO SLEMAN,DISHUBKOMINFO SLEMAN,Goverment,-,SLEMANKAB.GO.ID,"JL. Parasamya Beran, Tridadi, Sleman, Yogyakarta",TRIDADI,SLEMAN,KAB. SLEMAN,DI YOGYAKARTA,55111,0274-868405,0274-867507
S618,CV. INDONETMEDIA CORPORATION,-,Corporate,-,HOSTNIC.ID,Jl. Manisi 156,PASIR BIRU,CIBIRU,BANDUNG,JAWA BARAT,40615,+622263700909,+622263700909
S620,PT. KOMUNIKA JAYA NUSANTARA,KOMUNIKA JAYA NUSANTARA,Corporate,-,KOMUNIKAJAYA.CO.ID,"Wisma 77 Tower 2 Lt. 11-12, Jl. Let. Jend. S Parman Kav. 77",SLIPI,PALMERAH,JAKARTA BARAT,DKI JAKARTA,11410,021-80647200,021-29675885
S621,PT. SHOPEE INTERNATIONAL INDONESIA,SHOPEE INTERNATIONAL INDONESIA,Corporate,-,SHOPEE.CO.ID,"Wisma 77 Tower 2 Lt. 11
Jl. Let. Jend. S Parman Kav. 77",SLIPI,PALMERAH,JAKARTA BARAT,DKI JAKARTA,11410,021-80647110,021-29675885
S622,PT. FARMCO KIMIA,FARMCO,Corporate,-,WWW.FARMCOKIMIA.COM,"Wisma IWI Lt. 6 Suite 604, Il. Arjuna Selatan Kav. 75",KEBON JERUK,KEBON JERUK,JAKARTA BARAT,DKI JAKARTA,11480,021-53 678 697,021-53 678 697
S623,PEMERINTAH KABUPATEN BANYUASIN,KABUPATEN BANYUASIN,Goverment,-,BANYUASINKAB.GO.ID,"Kompleks Perkantoran Pemerintah Kabupaten Banyuasin, Jl. Sekojo No. 20",PANGKALAN BALAI,BANYUASIN III,KAB. BANYUASIN,SUMATERA SELATAN,30753,+62-711-7690021,+62-711-7690021
S624,PT. INTEGRASI NETWORK PERKASA,INTEGRASI,Corporate,-,INTEGRASINET.COM,Jl. Cipete Raya Blok. G2 No. 1,MUSTIKA SARI,MUSTIKAJAYA,BEKASI,JAWA BARAT,17157,021-82605049,021-82731619
S625,PT. SVADAIA HUMANA JASA,SVADAIA,Corporate,-,SVADAIA.COM,"GRAHA ANABATIC, LANTAI 7, JL. SCIENTIA BOULEVARD KAV U2, SUMMARECON SERPONG, TANGERANG, BANTEN, 15811, INDONESIA",CURUG SANGERENG,KELAPA DUA,KAB. TANGERANG,BANTEN,15811,021.80636678,021.80636678
S626,BAGIAN PDE SETDA KAB. SUKOHARJO,PEMKAB SUKOHARJO,Goverment,-,SUKOHARJOKAB.GO.ID,"Jl. Jend Sudirman 199 Sukoharjo
Sukoharjo",SUKOHARJO,SUKOHARJO,KAB. SUKOHARJO,JAWA TENGAH,57513,0271-593068,0271-593335
S627,CV. CITRAWEB NUSA INFOMEDIA,CITRAWEB,Corporate,-,CITRA.WEB.ID,"Jl. Petung 31 Papringan, Caturtunggal, Depok
Sleman, D.I. Yogyakarta, 55281",CATURTUNGGAL,DEPOK,KAB. SLEMAN,DI YOGYAKARTA,55281,0274-554444,0274-553055
S628,UNIVERSITAS MERCU BUANA,UNIVERSITAS MERCU BUANA,Education,-,MERCUBUANA.AC.ID,Jl. Meruya Selatan No. 1,MERUYA SELATAN,KEMBANGAN,JAKARTA BARAT,DKI JAKARTA,11650,021-5840816,021-5840015
S629,PT. ALIANSI SAKTI,ALIANSI-SAKTI.COM,Corporate,-,ALIANSI-SAKTI.COM,Komp. Rukan Puri Mutiara Blok. A/2,SUNTER AGUNG,TANJUNG PRIOK,JAKARTA UTARA,DKI JAKARTA,14350,+62-21-6583-2210,+62-21-6531-4232
S630,BPJS KETENAGAKERJAAN,BPJS KETENAGAKERJAAN,Goverment,-,BPJSKETENAGAKERJAAN.GO.ID,Jl. Jend. Gatot Subroto No. 79,KARET SEMANGGI,SETIABUDI,JAKARTA SELATAN,DKI JAKARTA,12930,021-5207797,021-5207797
S633,PEMERINTAH KABUPATEN BOYOLALI,PEMERINTAH DAERAH,Goverment,-,BOYOLALI.GO.ID,"Dinas Komunikasi dan Informatika
Komplek Perkantoran Terpadu Kabupaten Boyolali,",KEMIRI,MOJOSONGO,KAB. BOYOLALI,JAWA TENGAH,57321,+62276321009,+62276321009
S635,PT. WISESA CONSULTING INDONESIA,CONSULTING,Corporate,-,WISESA-CONSULTING.COM,"16th Floor APL Tower, Podomoro City",TANJUNG DUREN SELATAN,GROGOL PETAMBURAN,JAKARTA BARAT,DKI JAKARTA,11470,021-29339389,021-29339390
S636,PT. PHINISI GLOBAL DATA,PHINISI DATA,Corporate,-,PHINISIDATA.COM,"Jl.Gotong Royong lr II No. 28 A 
Panakukang Makassar",TAMAMAUNG,PANAKKUKANG,MAKASSAR,SULAWESI SELATAN,90231,0411-4672574,0411-4672574
S638,PT. SANGHIANG PERKASA,KALBE NUTRITIONALS,Corporate,-,KALBENUTRITIONALS.COM,"Gedung Graha Kirana Lantai 5, Suite 501, Jl. Yos Sudarso Kav. 88, RT. 009 / RW. 001",SUNTER JAYA,TANJUNG PRIOK,JAKARTA UTARA,DKI JAKARTA,14350,021-65311234,021-65311234
S641,PT. XIRKA DAMA PERSADA,XIRKA DAMA PERSADA,Corporate,-,WWW.DNET.NET.ID,Jl. matraman I no. 9,KEBON MANGGIS,MATRAMAN,JAKARTA TIMUR,DKI JAKARTA,13150,02128507000,02128507070
S643,DATASTORE,DATATECH,Corporate,-,DATATECH.CO.ID,"Jl. Mayjend B Sugeng
Banjarnegara",PARAKANCANGGAH,BANJARNEGARA,KAB. BANJARNEGARA,JAWA TENGAH,53411,0286-5980047,0286-5980047
S644,"PT. BANK TABUNGAN PENSIUNAN NASIONAL, TBK.",BANK BTPN,Corporate,-,BTPN.COM,"Menara BTPN
Lingkar Mega Kuningan Kav. 5.5-5.6",KUNINGAN TIMUR,SETIABUDI,JAKARTA SELATAN,DKI JAKARTA,12710,25567000,25567000
S646,PT. HOME CREDIT INDONESIA,HOME CREDIT INDONESIA,Corporate,-,MULTI FUNCTIONAL PURPOSE,"PT. Home Credit Indonesia
Plaza Oleos 8th Floor 
Jl. TB. Simatupang Raya No. 53",KEBAGUSAN,PASAR MINGGU,JAKARTA SELATAN,DKI JAKARTA,12520,"+6221 2953 9655, +62",+6221 227 80155
S647,PDAM TIRTA RAHARJA,PDAM TIRTARAHARJA,Goverment,-,TIRTARAHARJA.CO.ID,"Jl. Kol. Masturi Km. 3 Cipageran - Kota Cimahi, Jawa Barat",CIPAGERAN,CIMAHI UTARA,CIMAHI,JAWA BARAT,40511,+62-22-6654184,+62-22-6654298
S650,PT. MEDIATAMA TELEMATIKA NUSANTARA,MULTINETWORK,Corporate,-,MULTINETWORK.CO.ID,Jl. Danau Toba No. 104,BENDUNGAN HILIR,TANAH ABANG,JAKARTA PUSAT,DKI JAKARTA,10210,021-5701505,021-5738105
S652,PT. INTERACTIVE PRIMA ONLINE,PRODIGY INFINITECH,Corporate,-,PRODIGY.CO.ID,"Wisma ADR Lantai 1
Jl. Pluit Raya I No. 1",PENJARINGAN,PENJARINGAN,JAKARTA UTARA,DKI JAKARTA,14440,021-6618425,021-6618426
S653,PT. SURYA CITRA ENERGY,SURYA CITRA ENERGY,Corporate,-,WWW.MORATELINDO.CO.ID,"GD. CERVINO OFFICE
JL. KH. ABDULLAH SYAFE'I KAV. 27 RT. 018 RW. 001",TEBET BARAT,TEBET,JAKARTA SELATAN,DKI JAKARTA,12810,+622139899678,+622139899678
S654,PT. INDODEV NIAGA INTERNET,DATAON,Corporate,-,DATAON.COM,"Nissi Bintaro Campus, 5th floor
Jalan Tegal Rotan No 78, Bintaro Sektor 9",SAWAH BARU,CIPUTAT,TANGERANG SELATAN,BANTEN,15413,+622122213077,+622122213007
S656,PEMERINTAH KOTA KEDIRI,PEMERINTAH KOTA KEDIRI,Goverment,-,KEDIRIKOTA.GO.ID,Jl. Basuki Rahmad No.15 Kediri - Jawa Timur,Kediri,Kota Kediri,Kediri,JAWA TIMUR,65146,0354-682955,0354-682955
S657,UNIVERSITAS MUHAMMADIYAH PONOROGO,PENDIDIKAN,Education,-,UMPO.AC.ID,Jalan Budi Utomo No. 10 Ponorogo Jawa Timur,RONOWIJAYAN,SIMAN,KAB. PONOROGO,JAWA TIMUR,64371,(0352) 481124,(0352) 461796
S658,PT. INFINETWORKS GLOBAL,INFINETWORKS GLOBAL,Corporate,-,INFINETWORKS.COM,GRAHA AKTIVA LT. 3 JL. H. R. RASUNA SAID BLOK. X-1 KAV. 3,KUNINGAN TIMUR,SETIABUDI,JAKARTA SELATAN,DKI JAKARTA,12950,021-52920138,021-52920139
S2942,PT. VIRTUAL JARINGAN NASIONAL,VJN-ID,Corporate,-,VJN.CO.ID,"Jl. Tabrani Ahmad Komp. Batara Indah III A/B.2F
RT.007/025",SUNGAI JAWI DALAM,PONTIANAK BARAT,PONTIANAK,KALIMANTAN BARAT,78115,561-778889,561-778889
S659,INDONESIA RESEARCH AND EDUCATION NETWORK,IDREN.ID,Goverment,-,IDREN.ID,"Kementerian Riset, Teknologi dan Pendidikan Tinggi Republik Indonesia
Gedung D, Jl. Sudirman, Pintu Satu Senayan",GELORA,TANAH ABANG,JAKARTA PUSAT,DKI JAKARTA,10270,081330727800,031-5931237
S660,PEMERINTAH KABUPATEN TEMANGGUNG,PEMERINTAH DAERAH,Goverment,-,TEMANGGUNGKAB.GO.ID,"Sekretariat Daerah Kabupaten Temanggung
Bagian Humas
Jl. A. Yani No. 32
Temanggung",JAMPIROSO,TEMANGGUNG,KAB. TEMANGGUNG,JAWA TENGAH,56212,(0293) 491 004,(0293) 491 004
S661,PT. SQIVA SISTEM,SQIVA,Corporate,-,SQIVA.COM,"GD. DIPO BUSINESS CENTER LT. 7 UNIT B-C
JL. JEND. GATOT SUBROTO KAV. 51-52",PETAMBURAN,TANAH ABANG,JAKARTA PUSAT,DKI JAKARTA,10260,02130051300,02130051333
S662,DEWAN KETAHANAN NASIONAL,DEWAN KETAHANAN NASIONAL,Goverment,-,DKN.GO.ID,Jl. Medan Merdeka Barat 15,GAMBIR,GAMBIR,JAKARTA PUSAT,DKI JAKARTA,10110,62.21.3863984,62.21.3441683
S663,PT. HESTA MEDIA SINERGI,HESTA,Corporate,-,HESTA.ID,"Ruko Ubud Village Blok A5 , Jl. Hos Cokroaminoto",SUDIMARA TIMUR,CILEDUG,TANGERANG,BANTEN,15151,02129052106,02129052084
S665,PT. SISI,SISI,Corporate,-,SISI.ID,"Graha Irama / Indorama Building 11st Floor, suite G+62-21 - Jl. H. R. Rasuna Said Kav. 1 & 2",KUNINGAN TIMUR,SETIABUDI,JAKARTA SELATAN,DKI JAKARTA,12950,0215261174,0215261176
S2881,PT. BINTANG KOMUNIKASI INDONESIA,INTERNET SERVICE PROVIDER,Corporate,-,BINTANGKOMINDO.CO.ID,Jalan Pattimura No. 17,BATUPASI,WARA UTARA,PALOPO,SULAWESI SELATAN,92912,0471327184,0471327184
S667,CV. JAMUZU,JAMUZU-CORP,Corporate,-,JAMUZU-CORP.COM,"KP. Sukamenak RT. 04/01, DS. Cisalak",CISALAK,CISALAK,KAB. SUBANG,JAWA BARAT,41283,081290031376,-
S668,PT. MULIA FREKUENSI ADYATAMA,MFA,Corporate,-,MFA.CO.ID,Jl. Bendul Merisi Selatan Airdas No. 38 RT. 005/ RW. 006,Wonocolo,Bendul Merisi,Surabaya,JAWA TIMUR,60239,031-28997207,031-8686252
S669,PT. TIMERINDO PERKASA INTERNATIONAL,TIME INTERNATIONAL,Corporate,-,TIME.CO.ID,"Centennial Tower Lt. 37
Jl. Jend. Gatot Subroto Kav. 24-25 No. 27",KARET SEMANGGI,SETIABUDI,JAKARTA SELATAN,DKI JAKARTA,12930,021-29272708,021-29272709
S671,"PT. ELNUSA, TBK.",ELNUSA,Corporate,-,ELNUSA.CO.ID,Graha Elnusa Jl. TB Simatupang Kav. 1 B,CILANDAK BARAT,CILANDAK,JAKARTA SELATAN,DKI JAKARTA,12560,02178830850,02178830907
S672,PT. ARBA XTREME MEDIA,GX TV,Corporate,-,ARBAXTREME.TV,"JL. RAYA KEROBOKAN NO 388 Y, BR SEMER, KUTA UTARA, BADUNG, DENPASAR, BALI",KEROBOKAN KELOD,KUTA UTARA,KAB. BADUNG,BALI,80361,+623613003428,+62361736833
S673,DISINFOLAHTA TNI AL,MABES TNI AL,Goverment,-,TNIAL.MIL.ID,"MABES TNI AL CILANGKAP, JAKARTA",CILANGKAP,CIPAYUNG,JAKARTA TIMUR,DKI JAKARTA,13870,021 8723956,021 8711844
S674,"PT. GLOBAL MEDIACOM, TBK.",GLOBALMEDIACOM,Corporate,-,MNCGROUP.COM,"MNC Tower Lantai 29
Jl. Kebon Sirih No. 17-19",KEBON SIRIH,MENTENG,JAKARTA PUSAT,DKI JAKARTA,10340,0213900310,0213913338
S2746,PT. JABIKHA TEKNOLOGI INDONESIA,JABIKHA,Corporate,-,JABIKHA.NET,"Apartment Pelangi Gading Puri Elok Unit 511
Jl. Raya Pinus Elok, Penggilingan Cakung",PENGGILINGAN,CAKUNG,JAKARTA TIMUR,DKI JAKARTA,13940,+622122830439,+622122830439
S675,"DINAS KOMUNIKASI, INFORMATIKA, STATISTIK DAN PERSANDIAN PROVINSI BANTEN",BANTENPROV,Goverment,-,BANTENPROV.GO.ID,"Gedung Dinas Perhubungan Komunikasi dan Informatika Provinsi Banten
Kawasan Pemerintah Provinsi Banten
Jl. Syeh Nawawi Al-Bantani",SUKAJAYA,CURUG,SERANG,BANTEN,42171,087788555313,-
S676,BADAN PENGUSAHAAN BATAM,BPBATAM,Goverment,-,BPBATAM.GO.ID,Jl. Ibnu Sutowo No. 1 Batam Centre,TELUK TERING,BATAM KOTA,BATAM,KEPULAUAN RIAU,29411,+6283184302010,+62
S2866,PT. RAYA DIGITAL TELEMATIKA,RADITA NET,Corporate,-,RADITA.CO.ID,Komp. Griya Sukarame Blok. D4/10,SUKARAME,SUKARAME,BANDAR LAMPUNG,LAMPUNG,35131,081272375189,-
S677,PT. JURNAL CONSULTING INDONESIA,JURNAL,Corporate,-,WWW.JURNAL.ID,"Wisma Djingga, Rukan Green Mansion Blok. A no. 1, Jl Raya Daan Mogot KM. 10",KEDAUNG KALI ANGKE,CENGKARENG,JAKARTA BARAT,DKI JAKARTA,11710,021 2902 5471,021 2902 5364
S679,UNIVERSITAS NUSA CENDANA,UNDANA,Education,-,UNDANA.AC.ID,Jl. Adi Sucipto Penfui - Kupang,PENFUI,MAULAFA,KUPANG,NUSA TENGGARA TIMUR,85001,0380-881082,0380-881082
S682,PT. WINUSA CIPTA TELEMATIKA,WINTEL,Corporate,-,WINTEL.CO.ID,GD. Cyber Lt. 7 Jl. Kuningan Barat No. 8,KUNINGAN BARAT,MAMPANG PRAPATAN,JAKARTA SELATAN,DKI JAKARTA,12710,021-5612494,021-5612494
S683,PT. MAKMUR SUPRA NUSANTARA,MAKMUR SUPRA NUSANTARA,Corporate,-,E-INTIDATA.COM,Menara Kuningan Lt. 6 Unit E JL. H. R. Rasuna Said Blok. X-7 Kav. 5,KARET KUNINGAN,SETIABUDI,JAKARTA SELATAN,DKI JAKARTA,12940,0212512117,0212512117
S684,CV. ARGON DATA INTERKONEKSI,ARGON,Corporate,-,ARGON.ID,Jl Mekarsari No.1 CT.XIX kledokan,CATURTUNGGAL,DEPOK,KAB. SLEMAN,DI YOGYAKARTA,555281,02744332211,027444332211
S685,PEMERINTAH PROVINSI BALI,PEMERINTAHAN,Goverment,-,BALIPROV.GO.ID,JL. D. I PANJAITAN NO. 7 RENON DENPASAR,RENON,DENPASAR SELATAN,DENPASAR,BALI,80235,0361225859,0361227810
