no_reg,nama_perusahaan,nama_merek_usaha,tipe_keanggotaan,jenis_perizinan,domain,alamat_kantor,kelurahan,kecamatan,kabkota,provinsi,kodepos,phone,fax
S615,PT. BERKAH SOLUSI TEKNOLOGI INFORMASI,IT,Corporate,-,PTBSTI.COM,"Gedung STC Senayan Lt. 2 Ruang 35 Jl. Asia Afrika Pintu IX Gelora
Tanah Abang",GELORA,TANAH ABANG,JAKARTA PUSAT,DKI JAKARTA,10270,+62 (021) 5793-0507,+62 (021) 5793-0507
S616,DISHUBKOMINFO SLEMAN,DISHUBKOMINFO SLEMAN,Goverment,-,SLEMANKAB.GO.ID,"JL. Parasamya Beran, Tridadi, Sleman, Yogyakarta",TRIDADI,SLEMAN,KAB. SLEMAN,DI YOGYAKARTA,55111,0274-868405,0274-867507
0489,PT. GLOBALRIAU DATA SOLUSI,GDS NETWORK,Keanggotaan Penyelenggara,ISP,WWW.GDSHOST.NET,Jl. Cendana No. 1 Purwodadi Indah,SIDOMULYO BARAT,TAMPAN,PEKANBARU,RIAU,28294,0761 63018,0761 63018
S617,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED,BANK HSBC,QQ,-,HSBC.CO.ID,"World Trade Centre Lt. 1-4, Jl. Jend. Sudirman Kav. 29-31",KARET,SETIABUDI,JAKARTA SELATAN,DKI JAKARTA,12920,021-29273503,021-5248099
0490,PT. ECONDELIGHT,GECKO,Keanggotaan Penyelenggara,ISP,GECKO.CO.ID,"Jl. By Pass Ngurah Rai No.33, Sanur Kaja, Kec. Denpasar Selatan, Kota Denpasar, Bali 80227",SANUR KAJA,DENPASAR SELATAN,DENPASAR,BALI,80227,+623618947676,-
S618,CV. INDONETMEDIA CORPORATION,-,Corporate,-,HOSTNIC.ID,Jl. Manisi 156,PASIR BIRU,CIBIRU,BANDUNG,JAWA BARAT,40615,+622263700909,+622263700909
S620,PT. KOMUNIKA JAYA NUSANTARA,KOMUNIKA JAYA NUSANTARA,Corporate,-,KOMUNIKAJAYA.CO.ID,"Wisma 77 Tower 2 Lt. 11-12, Jl. Let. Jend. S Parman Kav. 77",SLIPI,PALMERAH,JAKARTA BARAT,DKI JAKARTA,11410,021-80647200,021-29675885
S621,PT. SHOPEE INTERNATIONAL INDONESIA,SHOPEE INTERNATIONAL INDONESIA,Corporate,-,SHOPEE.CO.ID,"Wisma 77 Tower 2 Lt. 11
Jl. Let. Jend. S Parman Kav. 77",SLIPI,PALMERAH,JAKARTA BARAT,DKI JAKARTA,11410,021-80647110,021-29675885
S622,PT. FARMCO KIMIA,FARMCO,Corporate,-,WWW.FARMCOKIMIA.COM,"Wisma IWI Lt. 6 Suite 604, Il. Arjuna Selatan Kav. 75",KEBON JERUK,KEBON JERUK,JAKARTA BARAT,DKI JAKARTA,11480,021-53 678 697,021-53 678 697
S623,PEMERINTAH KABUPATEN BANYUASIN,KABUPATEN BANYUASIN,Goverment,-,BANYUASINKAB.GO.ID,"Kompleks Perkantoran Pemerintah Kabupaten Banyuasin, Jl. Sekojo No. 20",PANGKALAN BALAI,BANYUASIN III,KAB. BANYUASIN,SUMATERA SELATAN,30753,+62-711-7690021,+62-711-7690021
S624,PT. INTEGRASI NETWORK PERKASA,INTEGRASI,Corporate,-,INTEGRASINET.COM,Jl. Cipete Raya Blok. G2 No. 1,MUSTIKA SARI,MUSTIKAJAYA,BEKASI,JAWA BARAT,17157,021-82605049,021-82731619
0491,PT. SRIWIJAYA INTERNET SERVICES,SISNET,Keanggotaan Penyelenggara,ISP,WWW.SIS.NET.ID,Jalan Pendawa No. 834,2 ILIR,ILIR TIMUR II,PALEMBANG,SUMATERA SELATAN,30118,0711720147,0711720147
0492,PT. MULTI TRANS DATA,JANOKONET,Keanggotaan Penyelenggara,ISP,JANOKO.NET.ID,Jl. Siantar No. 9,CIDENG,GAMBIR,JAKARTA PUSAT,DKI JAKARTA,10150,021-3514619,021-5681450
S625,PT. SVADAIA HUMANA JASA,SVADAIA,Corporate,-,SVADAIA.COM,"GRAHA ANABATIC, LANTAI 7, JL. SCIENTIA BOULEVARD KAV U2, SUMMARECON SERPONG, TANGERANG, BANTEN, 15811, INDONESIA",CURUG SANGERENG,KELAPA DUA,KAB. TANGERANG,BANTEN,15811,021.80636678,021.80636678
S626,BAGIAN PDE SETDA KAB. SUKOHARJO,PEMKAB SUKOHARJO,Goverment,-,SUKOHARJOKAB.GO.ID,"Jl. Jend Sudirman 199 Sukoharjo
Sukoharjo",SUKOHARJO,SUKOHARJO,KAB. SUKOHARJO,JAWA TENGAH,57513,0271-593068,0271-593335
S627,CV. CITRAWEB NUSA INFOMEDIA,CITRAWEB,Corporate,-,CITRA.WEB.ID,"Jl. Petung 31 Papringan, Caturtunggal, Depok
Sleman, D.I. Yogyakarta, 55281",CATURTUNGGAL,DEPOK,KAB. SLEMAN,DI YOGYAKARTA,55281,0274-554444,0274-553055
S628,UNIVERSITAS MERCU BUANA,UNIVERSITAS MERCU BUANA,Education,-,MERCUBUANA.AC.ID,Jl. Meruya Selatan No. 1,MERUYA SELATAN,KEMBANGAN,JAKARTA BARAT,DKI JAKARTA,11650,021-5840816,021-5840015
S629,PT. ALIANSI SAKTI,ALIANSI-SAKTI.COM,Corporate,-,ALIANSI-SAKTI.COM,Komp. Rukan Puri Mutiara Blok. A/2,SUNTER AGUNG,TANJUNG PRIOK,JAKARTA UTARA,DKI JAKARTA,14350,+62-21-6583-2210,+62-21-6531-4232
S630,BPJS KETENAGAKERJAAN,BPJS KETENAGAKERJAAN,Goverment,-,BPJSKETENAGAKERJAAN.GO.ID,Jl. Jend. Gatot Subroto No. 79,KARET SEMANGGI,SETIABUDI,JAKARTA SELATAN,DKI JAKARTA,12930,021-5207797,021-5207797
S633,PEMERINTAH KABUPATEN BOYOLALI,PEMERINTAH DAERAH,Goverment,-,BOYOLALI.GO.ID,"Dinas Komunikasi dan Informatika
Komplek Perkantoran Terpadu Kabupaten Boyolali,",KEMIRI,MOJOSONGO,KAB. BOYOLALI,JAWA TENGAH,57321,+62276321009,+62276321009
S635,PT. WISESA CONSULTING INDONESIA,CONSULTING,Corporate,-,WISESA-CONSULTING.COM,"16th Floor APL Tower, Podomoro City",TANJUNG DUREN SELATAN,GROGOL PETAMBURAN,JAKARTA BARAT,DKI JAKARTA,11470,021-29339389,021-29339390
S636,PT. PHINISI GLOBAL DATA,PHINISI DATA,Corporate,-,PHINISIDATA.COM,"Jl.Gotong Royong lr II No. 28 A 
Panakukang Makassar",TAMAMAUNG,PANAKKUKANG,MAKASSAR,SULAWESI SELATAN,90231,0411-4672574,0411-4672574
S637,UNIVERSITAS ISLAM BANDUNG,UNISBA,QQ,-,UNISBA.AC.ID,Jl. Tamansari no. i 20 Bandung,TAMAN SARI,BANDUNG WETAN,BANDUNG,JAWA BARAT,40116,4203368,4263895
0494,PT. AWINET GLOBAL MANDIRI,AWINET,Keanggotaan Penyelenggara,ISP,AWI.NET.ID,Jl. Siliwangi No. 29L Rt 02 / Rw 12,MUARA CIUJUNG TIMUR,RANGKASBITUNG,KAB. LEBAK,BANTEN,43214,+62253501616,+62
0495,PT. HAFIZ JAYA INFOTAMA,FIZNET,Keanggotaan Penyelenggara,ISP,FIZNET.ID,Jl. Bumi Manti IV No. 19,KAMPUNG BARU,LABUHAN RATU,BANDAR LAMPUNG,LAMPUNG,35143,+62721701564,+6271701564
S638,PT. SANGHIANG PERKASA,KALBE NUTRITIONALS,Corporate,-,KALBENUTRITIONALS.COM,"Gedung Graha Kirana Lantai 5, Suite 501, Jl. Yos Sudarso Kav. 88, RT. 009 / RW. 001",SUNTER JAYA,TANJUNG PRIOK,JAKARTA UTARA,DKI JAKARTA,14350,021-65311234,021-65311234
0496,PT. WAHANA INTERNET NUSANTARA,BNET,Keanggotaan Penyelenggara,ISP,BNET.ID,Jl. Dr. Taruno No. 127 RT. 001 / RW. 009,ADIARSA BARAT,KARAWANG BARAT,KAB. KARAWANG,JAWA BARAT,41313,081905650307,02678401585
S640,UNIVERSITAS NEGERI MAKASSAR,UNM,QQ,-,UNM.AC.ID,Jln. AP. Pettarani Nomor 1,GUNUNG SARI,RAPPOCINI,MAKASSAR,SULAWESI SELATAN,90221,08152549456,0411883187
S641,PT. XIRKA DAMA PERSADA,XIRKA DAMA PERSADA,Corporate,-,WWW.DNET.NET.ID,Jl. matraman I no. 9,KEBON MANGGIS,MATRAMAN,JAKARTA TIMUR,DKI JAKARTA,13150,02128507000,02128507070
S642,UNIVERSITAS PEMBANGUNAN NASIONAL VETERAN SURABAYA,UPN VETERAN SURABAYA,QQ,-,UPNJATIM.AC.ID,"Jl. Raya Rungkut Madya no 1, Gunung Anyar, Kota SBY, Jawa Timur 60294, Indonesia",Gunung Anyar,Rungkut,Surabaya,JAWA TIMUR,60294,08123519483,0318793589
S643,DATASTORE,DATATECH,Corporate,-,DATATECH.CO.ID,"Jl. Mayjend B Sugeng
Banjarnegara",PARAKANCANGGAH,BANJARNEGARA,KAB. BANJARNEGARA,JAWA TENGAH,53411,0286-5980047,0286-5980047
S644,"PT. BANK TABUNGAN PENSIUNAN NASIONAL, TBK.",BANK BTPN,Corporate,-,BTPN.COM,"Menara BTPN
Lingkar Mega Kuningan Kav. 5.5-5.6",KUNINGAN TIMUR,SETIABUDI,JAKARTA SELATAN,DKI JAKARTA,12710,25567000,25567000
S646,PT. HOME CREDIT INDONESIA,HOME CREDIT INDONESIA,Corporate,-,MULTI FUNCTIONAL PURPOSE,"PT. Home Credit Indonesia
Plaza Oleos 8th Floor 
Jl. TB. Simatupang Raya No. 53",KEBAGUSAN,PASAR MINGGU,JAKARTA SELATAN,DKI JAKARTA,12520,"+6221 2953 9655, +62",+6221 227 80155
S647,PDAM TIRTA RAHARJA,PDAM TIRTARAHARJA,Goverment,-,TIRTARAHARJA.CO.ID,"Jl. Kol. Masturi Km. 3 Cipageran - Kota Cimahi, Jawa Barat",CIPAGERAN,CIMAHI UTARA,CIMAHI,JAWA BARAT,40511,+62-22-6654184,+62-22-6654298
0497,PT. RTIGA GLOBAL MEDIA,RNET,Keanggotaan Penyelenggara,ISP,RTIGA.NET.ID,Jl. Pisangan Lama III No. 2 A,PISANGAN TIMUR,PULO GADUNG,JAKARTA TIMUR,DKI JAKARTA,13230,+622150112252,+622150112252
0498,PT. WIRELESS INDONESIA (NAP),WIN,Keanggotaan Penyelenggara,NAP,WIRELESS-INDONESIA.CO.ID,Jl. Agus Salim No. 45,KEBON SIRIH,MENTENG,JAKARTA PUSAT,DKI JAKARTA,10340,08881853005,021-3162517
0499,PT. JAVA DIGITAL NUSANTARA,NUSANTARA,Keanggotaan Penyelenggara,ISP,NUSANTARA.NET.ID,"Jl. Cikaret Raya 
Jl. Komplek Puri Nirwana 1 No. 1",PABUARAN,CIBINONG,KAB. BOGOR,JAWA BARAT,16916,+6221 875 1818,+6221 875 1818
S650,PT. MEDIATAMA TELEMATIKA NUSANTARA,MULTINETWORK,Corporate,-,MULTINETWORK.CO.ID,Jl. Danau Toba No. 104,BENDUNGAN HILIR,TANAH ABANG,JAKARTA PUSAT,DKI JAKARTA,10210,021-5701505,021-5738105
533,PT. ARJUNA GLOBAL TEKNOLOGI INDONESIA,ARJUNA,Keanggotaan Penyelenggara,ISP,AGTI.CO.ID,"Cibubur country, Jl. Boulevard Raya Blok. CDOR NO. 10",CIKEAS UDIK,GUNUNG PUTRI,KAB. BOGOR,JAWA BARAT,16966,021-2909 7742,021-2909 7742
0500,PT. ALITA PRAYA MITRA,ALITA,Keanggotaan Penyelenggara,JTT,ALITA.ID,"Alita Building
Jl. Muara Dalam No. 108",TANJUNG BARAT,JAGAKARSA,JAKARTA SELATAN,DKI JAKARTA,12530,021 29406750,021 29406751
0501,PT. TIGATRA INFOKOM,TIGAKOM,Keanggotaan Penyelenggara,ISP,TIGAKOM.COM,Permata Plaza Lantai 10 suite 1008 Jl. MH. Thamrin no. 57,GONDANGDIA,MENTENG,JAKARTA PUSAT,DKI JAKARTA,10350,31936522,31936563
0502,PT. BENTANG SELARAS TEKNOLOGI,BESTNET,Keanggotaan Penyelenggara,ISP,BEST.NET.ID,Ruko Sukarno Hatta Indah E No 10,Mojolangu,Lowokwaru,MALANG,JAWA TIMUR,65142,+623414345448,+623414345448
0503,PT. MEGA AKSES PERSADA,FIBERSTAR,Keanggotaan Penyelenggara,JTL,FIBERSTAR.CO.ID,"Cyber 2 Tower Lt. 3
Jl. H. R. Rasuna Said Blok X-5 No. 13",KUNINGAN TIMUR,SETIABUDI,JAKARTA SELATAN,DKI JAKARTA,12950,+622180621200,+622180621299
S652,PT. INTERACTIVE PRIMA ONLINE,PRODIGY INFINITECH,Corporate,-,PRODIGY.CO.ID,"Wisma ADR Lantai 1
Jl. Pluit Raya I No. 1",PENJARINGAN,PENJARINGAN,JAKARTA UTARA,DKI JAKARTA,14440,021-6618425,021-6618426
S653,PT. SURYA CITRA ENERGY,SURYA CITRA ENERGY,Corporate,-,WWW.MORATELINDO.CO.ID,"GD. CERVINO OFFICE
JL. KH. ABDULLAH SYAFE'I KAV. 27 RT. 018 RW. 001",TEBET BARAT,TEBET,JAKARTA SELATAN,DKI JAKARTA,12810,+622139899678,+622139899678
0504,PT. MEDIALINK GLOBAL MANDIRI,GLOBALLINK,Keanggotaan Penyelenggara,ISP,GLOBALLINK.NET.ID,Gedung Graha Pena Lt3 Kav 317 - 318,PAMPANG,PANAKKUKANG,MAKASSAR,SULAWESI SELATAN,90231,+624114673758,+624114673758
S654,PT. INDODEV NIAGA INTERNET,DATAON,Corporate,-,DATAON.COM,"Nissi Bintaro Campus, 5th floor
Jalan Tegal Rotan No 78, Bintaro Sektor 9",SAWAH BARU,CIPUTAT,TANGERANG SELATAN,BANTEN,15413,+622122213077,+622122213007
S655,PT. PRUDENTIAL LIFE ASSURANCE,INSURANCE SERVICE COMPAY,QQ,-,WWW.PRUDENTIAL.CO.ID,Jalan jend. Sudirman kav. 79,KARET KUNINGAN,SETIABUDI,JAKARTA SELATAN,DKI JAKARTA,10220,6221 29958888,6221 29958888
S656,PEMERINTAH KOTA KEDIRI,PEMERINTAH KOTA KEDIRI,Goverment,-,KEDIRIKOTA.GO.ID,Jl. Basuki Rahmad No.15 Kediri - Jawa Timur,Kediri,Kota Kediri,Kediri,JAWA TIMUR,65146,0354-682955,0354-682955
S657,UNIVERSITAS MUHAMMADIYAH PONOROGO,PENDIDIKAN,Education,-,UMPO.AC.ID,Jalan Budi Utomo No. 10 Ponorogo Jawa Timur,RONOWIJAYAN,SIMAN,KAB. PONOROGO,JAWA TIMUR,64371,(0352) 481124,(0352) 461796
S658,PT. INFINETWORKS GLOBAL,INFINETWORKS GLOBAL,Corporate,-,INFINETWORKS.COM,GRAHA AKTIVA LT. 3 JL. H. R. RASUNA SAID BLOK. X-1 KAV. 3,KUNINGAN TIMUR,SETIABUDI,JAKARTA SELATAN,DKI JAKARTA,12950,021-52920138,021-52920139
S2942,PT. VIRTUAL JARINGAN NASIONAL,VJN-ID,Corporate,-,VJN.CO.ID,"Jl. Tabrani Ahmad Komp. Batara Indah III A/B.2F
RT.007/025",SUNGAI JAWI DALAM,PONTIANAK BARAT,PONTIANAK,KALIMANTAN BARAT,78115,561-778889,561-778889
S659,INDONESIA RESEARCH AND EDUCATION NETWORK,IDREN.ID,Goverment,-,IDREN.ID,"Kementerian Riset, Teknologi dan Pendidikan Tinggi Republik Indonesia
Gedung D, Jl. Sudirman, Pintu Satu Senayan",GELORA,TANAH ABANG,JAKARTA PUSAT,DKI JAKARTA,10270,081330727800,031-5931237
S660,PEMERINTAH KABUPATEN TEMANGGUNG,PEMERINTAH DAERAH,Goverment,-,TEMANGGUNGKAB.GO.ID,"Sekretariat Daerah Kabupaten Temanggung
Bagian Humas
Jl. A. Yani No. 32
Temanggung",JAMPIROSO,TEMANGGUNG,KAB. TEMANGGUNG,JAWA TENGAH,56212,(0293) 491 004,(0293) 491 004
0506,PT. JALA LINTAS MEDIA (JTT),JLM.NET.ID,Keanggotaan Penyelenggara,JTT,JLM.NET.ID,Jl. Raya Mayor Oking Jaya Atmaja KM. 2 No. 89 RT. 005/001,CIRIUNG,CIBINONG,KAB. BOGOR,JAWA BARAT,16819,+62-21-87906175,+62-21-87906192
S661,PT. SQIVA SISTEM,SQIVA,Corporate,-,SQIVA.COM,"GD. DIPO BUSINESS CENTER LT. 7 UNIT B-C
JL. JEND. GATOT SUBROTO KAV. 51-52",PETAMBURAN,TANAH ABANG,JAKARTA PUSAT,DKI JAKARTA,10260,02130051300,02130051333
0507,PT. QUEEN NETWORK NUSANTARA,QIUNET,Keanggotaan Penyelenggara,ISP,QIU.NET.ID,Jl. Gajah Mada No. A I4 Komplek Gading Jaya,KOTA BARU,TANJUNG KARANG TIMUR,BANDAR LAMPUNG,LAMPUNG,35128,+62721773106,+62721773106
S662,DEWAN KETAHANAN NASIONAL,DEWAN KETAHANAN NASIONAL,Goverment,-,DKN.GO.ID,Jl. Medan Merdeka Barat 15,GAMBIR,GAMBIR,JAKARTA PUSAT,DKI JAKARTA,10110,62.21.3863984,62.21.3441683
S663,PT. HESTA MEDIA SINERGI,HESTA,Corporate,-,HESTA.ID,"Ruko Ubud Village Blok A5 , Jl. Hos Cokroaminoto",SUDIMARA TIMUR,CILEDUG,TANGERANG,BANTEN,15151,02129052106,02129052084
0508,PT. COMTELINDO,COMTELINDO,Keanggotaan Penyelenggara,ISP,COMTELINDO.COM,Jl. Letkol. Pol. HM. Asnawi Arbain No. 161,SUNGAI NANGKA,BALIKPAPAN SELATAN,BALIKPAPAN,KALIMANTAN TIMUR,76114,+625428706777,+62
0509,PT. JARINGANKU SARANA NUSANTARA,JSN,Keanggotaan Penyelenggara,ISP,WWW.JSN.NET.ID,"JL. WIJAYA KUSUMA NO. 6 RT. 005 / RW. 003 PERUM GRIYA SEKAR ASRI, SEKAR KURUNG",MUKTIHARJO,MARGOREJO,KAB. PATI,JAWA TENGAH,59163,0295392501,295392501
0543,PT. MITRA VISIONER PRATAMA,MVNET,Keanggotaan Penyelenggara,ISP,MVNET.CO.ID,Jalan Bangka IX No. 43 A RT. 5 RW. 12 Pela Mampang,PELA MAMPANG,MAMPANG PRAPATAN,JAKARTA SELATAN,DKI JAKARTA,12720,+62-21-30068804,+62-21-30068804
S665,PT. SISI,SISI,Corporate,-,SISI.ID,"Graha Irama / Indorama Building 11st Floor, suite G+62-21 - Jl. H. R. Rasuna Said Kav. 1 & 2",KUNINGAN TIMUR,SETIABUDI,JAKARTA SELATAN,DKI JAKARTA,12950,0215261174,0215261176
S2881,PT. BINTANG KOMUNIKASI INDONESIA,INTERNET SERVICE PROVIDER,Corporate,-,BINTANGKOMINDO.CO.ID,Jalan Pattimura No. 17,BATUPASI,WARA UTARA,PALOPO,SULAWESI SELATAN,92912,0471327184,0471327184
S667,CV. JAMUZU,JAMUZU-CORP,Corporate,-,JAMUZU-CORP.COM,"KP. Sukamenak RT. 04/01, DS. Cisalak",CISALAK,CISALAK,KAB. SUBANG,JAWA BARAT,41283,081290031376,-
S668,PT. MULIA FREKUENSI ADYATAMA,MFA,Corporate,-,MFA.CO.ID,Jl. Bendul Merisi Selatan Airdas No. 38 RT. 005/ RW. 006,Wonocolo,Bendul Merisi,Surabaya,JAWA TIMUR,60239,031-28997207,031-8686252
S669,PT. TIMERINDO PERKASA INTERNATIONAL,TIME INTERNATIONAL,Corporate,-,TIME.CO.ID,"Centennial Tower Lt. 37
Jl. Jend. Gatot Subroto Kav. 24-25 No. 27",KARET SEMANGGI,SETIABUDI,JAKARTA SELATAN,DKI JAKARTA,12930,021-29272708,021-29272709
S670,BADAN PENGAWAS OBAT DAN MAKANAN,BADAN PENGAWAS OBAT DAN MAKANAN,QQ,-,WWW.POM.GO.ID,Jl. Percetakan Negara No. 23,JOHAR BARU,JOHAR BARU,JAKARTA PUSAT,DKI JAKARTA,10560,021-4289117,021-4289117
S671,"PT. ELNUSA, TBK.",ELNUSA,Corporate,-,ELNUSA.CO.ID,Graha Elnusa Jl. TB Simatupang Kav. 1 B,CILANDAK BARAT,CILANDAK,JAKARTA SELATAN,DKI JAKARTA,12560,02178830850,02178830907
0511,PT. FOXLINE MEDIADATA INDONUSA,FOXLINE NETWORK,Keanggotaan Penyelenggara,ISP,FOXLINE.NET.ID,"Jl. Anggajaya II No.16B, Krangkungan Raya Condong Catur, Depok, Condongcatur, Kecamatan Depok, Sleman, Daerah Istimewa Yogyakarta 55821",CONDONGCATUR,DEPOK,KAB. SLEMAN,DI YOGYAKARTA,55581,+622742833550,+622742833550
S672,PT. ARBA XTREME MEDIA,GX TV,Corporate,-,ARBAXTREME.TV,"JL. RAYA KEROBOKAN NO 388 Y, BR SEMER, KUTA UTARA, BADUNG, DENPASAR, BALI",KEROBOKAN KELOD,KUTA UTARA,KAB. BADUNG,BALI,80361,+623613003428,+62361736833
S673,DISINFOLAHTA TNI AL,MABES TNI AL,Goverment,-,TNIAL.MIL.ID,"MABES TNI AL CILANGKAP, JAKARTA",CILANGKAP,CIPAYUNG,JAKARTA TIMUR,DKI JAKARTA,13870,021 8723956,021 8711844
S674,"PT. GLOBAL MEDIACOM, TBK.",GLOBALMEDIACOM,Corporate,-,MNCGROUP.COM,"MNC Tower Lantai 29
Jl. Kebon Sirih No. 17-19",KEBON SIRIH,MENTENG,JAKARTA PUSAT,DKI JAKARTA,10340,0213900310,0213913338
S2746,PT. JABIKHA TEKNOLOGI INDONESIA,JABIKHA,Corporate,-,JABIKHA.NET,"Apartment Pelangi Gading Puri Elok Unit 511
Jl. Raya Pinus Elok, Penggilingan Cakung",PENGGILINGAN,CAKUNG,JAKARTA TIMUR,DKI JAKARTA,13940,+622122830439,+622122830439
S675,"DINAS KOMUNIKASI, INFORMATIKA, STATISTIK DAN PERSANDIAN PROVINSI BANTEN",BANTENPROV,Goverment,-,BANTENPROV.GO.ID,"Gedung Dinas Perhubungan Komunikasi dan Informatika Provinsi Banten
Kawasan Pemerintah Provinsi Banten
Jl. Syeh Nawawi Al-Bantani",SUKAJAYA,CURUG,SERANG,BANTEN,42171,087788555313,-
S676,BADAN PENGUSAHAAN BATAM,BPBATAM,Goverment,-,BPBATAM.GO.ID,Jl. Ibnu Sutowo No. 1 Batam Centre,TELUK TERING,BATAM KOTA,BATAM,KEPULAUAN RIAU,29411,+6283184302010,+62
S2866,PT. RAYA DIGITAL TELEMATIKA,RADITA NET,Corporate,-,RADITA.CO.ID,Komp. Griya Sukarame Blok. D4/10,SUKARAME,SUKARAME,BANDAR LAMPUNG,LAMPUNG,35131,081272375189,-
S677,PT. JURNAL CONSULTING INDONESIA,JURNAL,Corporate,-,WWW.JURNAL.ID,"Wisma Djingga, Rukan Green Mansion Blok. A no. 1, Jl Raya Daan Mogot KM. 10",KEDAUNG KALI ANGKE,CENGKARENG,JAKARTA BARAT,DKI JAKARTA,11710,021 2902 5471,021 2902 5364
S679,UNIVERSITAS NUSA CENDANA,UNDANA,Education,-,UNDANA.AC.ID,Jl. Adi Sucipto Penfui - Kupang,PENFUI,MAULAFA,KUPANG,NUSA TENGGARA TIMUR,85001,0380-881082,0380-881082
S680,UNIVERSITAS TRUNOJOYO MADURA,UNIVERSITAS TRUNOJOYO MADURA,QQ,-,TRUNOJOYO.AC.ID,"JL. RAYA TELANG PO BOX 2 KAMAL
BANGKALAN, JAWA TIMUR, 69162",KAMAL,KAMAL,Kab. Bangkalan,JAWA TIMUR,69162,031-3011146,031-3011506
S682,PT. WINUSA CIPTA TELEMATIKA,WINTEL,Corporate,-,WINTEL.CO.ID,GD. Cyber Lt. 7 Jl. Kuningan Barat No. 8,KUNINGAN BARAT,MAMPANG PRAPATAN,JAKARTA SELATAN,DKI JAKARTA,12710,021-5612494,021-5612494
S683,PT. MAKMUR SUPRA NUSANTARA,MAKMUR SUPRA NUSANTARA,Corporate,-,E-INTIDATA.COM,Menara Kuningan Lt. 6 Unit E JL. H. R. Rasuna Said Blok. X-7 Kav. 5,KARET KUNINGAN,SETIABUDI,JAKARTA SELATAN,DKI JAKARTA,12940,0212512117,0212512117
S684,CV. ARGON DATA INTERKONEKSI,ARGON,Corporate,-,ARGON.ID,Jl Mekarsari No.1 CT.XIX kledokan,CATURTUNGGAL,DEPOK,KAB. SLEMAN,DI YOGYAKARTA,555281,02744332211,027444332211
S685,PEMERINTAH PROVINSI BALI,PEMERINTAHAN,Goverment,-,BALIPROV.GO.ID,JL. D. I PANJAITAN NO. 7 RENON DENPASAR,RENON,DENPASAR SELATAN,DENPASAR,BALI,80235,0361225859,0361227810
S686,PT. PERSONEL ALIH DAYA,PERSADA,Corporate,-,PERSADA.ID,Jl. Poltangan Raya No. 35,TANJUNG BARAT,JAGAKARSA,JAKARTA SELATAN,DKI JAKARTA,12530,+622178846142,+622178846138
S1363,CV. RAGYL,RAGYL,Corporate,-,RAGYL.COM,Jl. Semboja 81 RT.23 RW.03,Cepokomulyo,Kepanjen,Kab. Malang,JAWA TIMUR,65163,082232775577,082232775577
S689,PDAM SURYA SEMBADA KOTA SURABAYA,PDAM,Goverment,-,PDAM-SBY.GO.ID,JL. MAYJEND PROF. DR. MOESTOPO 2,PACAR KELING,TAMBAKSARI,Surabaya,JAWA TIMUR,60131,+62315039373,+62315030100
0805,PT. SOLUSI TRIMEGAH PERSADA,BEENET,Keanggotaan Penyelenggara,ISP,BEENET.ID,"Jl. Beringin Raya No. 144 A
Karawaci Tangerang, Banten 15116",KARAWACI,KARAWACI,TANGERANG,BANTEN,15116,021-55766372,021-55766372
S691,SEKRETARIAT JENDERAL MPR RI,SEKRETARIAT JENDERAL MPR RI,Goverment,-,MPR.GO.ID,Jalan Jenderal Gatot Subroto No. 6,GELORA,TANAH ABANG,JAKARTA PUSAT,DKI JAKARTA,10270,+622157895063,+622157895078
S692,KEMENTERIAN KETENAGAKERJAAN REPUBLIK INDONESIA,KEMNAKER,Goverment,-,KEMNAKER.GO.ID,Jl. Jendral Gatot Subroto No. 51,KUNINGAN TIMUR,SETIABUDI,JAKARTA SELATAN,DKI JAKARTA,12950,021-5255733,021-5255733
S693,PT. NAGA KREATIF RODA INDONESIA,NAGA KRI,Corporate,-,KRI.CO.ID,"Rukan Exclusive Mideterania Blok. H No. 26 BGM
PIK RT. 008 / RW. 05",KAMAL MUARA,PENJARINGAN,JAKARTA UTARA,DKI JAKARTA,14470,021-80624624,021-80624624
S694,PT. PRADIPA SAPTA MEDIA,BOSEN.NET,Corporate,-,BOSEN.NET,"Jl. Naripan No. 85-89
Kebon Pisang – Sumur Bandung",KEBON PISANG,SUMUR BANDUNG,BANDUNG,JAWA BARAT,40111,+622285880831,+622285880831
0514,PT. CINOXMEDIA NETWORK INDONESIA,CINOXMEDIANET,Keanggotaan Penyelenggara,ISP,WWW.CINOXMEDIA.NET,Jl. Adityawarman No. 366 RT. 002 / RW. 002,KAMPUNG JAWA,TANJUNG HARAPAN,SOLOK,SUMATERA BARAT,27321,085316001000,075520698
S695,PT. TITIK TERANG MAKMUR,SPT ONLINE,Corporate,-,PUTRANTO-ALLIANCE.COM,Jl. DENPASAR RAYA BLOK C4 NO. 24 RT/RW 007/002,KUNINGAN TIMUR,SETIABUDI,JAKARTA SELATAN,DKI JAKARTA,12950,0215204989,0215204990
S696,UNIVERSITAS ISLAM NEGERI RADEN FATAH PALEMBANG,UIN RADEN FATAH PALEMBANG,Education,-,RADENFATAH.AC.ID,"Jl. Prof K. H Zainal Abidin Fikry KM. 3,5",PAHLAWAN,KEMUNING,PALEMBANG,SUMATERA SELATAN,30126,0711-354668,0711-356209
